time	CPU_hours	workflow	run	subrun
2h51m4s	28.9	crispra	1	1
2h22m58s	21.4	crispra	1	2
2h18m11s	19.8	crispra	1	3
2h47m58s	28.5	crispra	1	4
2h42m14s	26.8	crispra	1	5
2h39m21s	25.4	crispra	1	6
2h57m13s	31.2	crispra	1	7
2h39m54s	25.3	crispra	1	8
2h14m11s	18.7	crispra	1	9
2h37m30s	25.6	crispra	1	10
2h49m5s	29.1	crispra	1	11
2h0m56s	19.6	crispra	1	12
2h52m36s	29	crispra	2	1
2h32m22s	22.6	crispra	2	2
2h51m52s	27.2	crispra	2	3
2h51m56s	29.3	crispra	2	4
3h22m25s	36.2	crispra	2	5
3h32m14s	37.8	crispra	2	6
3h5m17s	32.2	crispra	2	7
2h37m35s	25.3	crispra	2	8
2h31m34s	23.3	crispra	2	9
2h41m18s	25.9	crispra	2	10
2h47m48s	28.4	crispra	2	11
2h1m43s	19.6	crispra	2	12
2h52m20s	29.1	crispra	3	1
2h23m4s	21.4	crispra	3	2
2h18m7s	19.8	crispra	3	3
2h48m9s	28.5	crispra	3	4
2h42m17s	26.8	crispra	3	5
2h38m40s	25.5	crispra	3	6
2h57m45s	31.3	crispra	3	7
2h39m47s	25.8	crispra	3	8
2h32m56s	23.5	crispra	3	9
2h42m24s	26.6	crispra	3	10
2h50m41s	29.2	crispra	3	11
1h42m2s	19.7	crispra	3	12
