##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRX5112343_SRR8297841.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21589661
Total Bases	1 Gbp
Sequences flagged as poor quality	0
Sequence length	50
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.265360072119705	33.0	33.0	33.0	33.0	33.0
2	32.23203036861023	33.0	33.0	33.0	33.0	33.0
3	32.24665750888817	33.0	33.0	33.0	33.0	33.0
4	32.31675735899697	33.0	33.0	33.0	33.0	33.0
5	32.30466615478585	33.0	33.0	33.0	33.0	33.0
6	35.616410419783804	37.0	37.0	37.0	33.0	37.0
7	35.618753115206395	37.0	37.0	37.0	33.0	37.0
8	35.85654230513393	37.0	37.0	37.0	37.0	37.0
9	35.32985432239997	37.0	37.0	37.0	33.0	37.0
10	35.32519593522103	37.0	37.0	37.0	33.0	37.0
11	34.7328352214516	37.0	37.0	37.0	27.0	37.0
12	34.06998720359713	37.0	37.0	37.0	27.0	37.0
13	33.71978050049049	37.0	33.0	37.0	27.0	37.0
14	33.82564232944649	37.0	33.0	37.0	27.0	37.0
15	33.555032522279994	37.0	33.0	37.0	27.0	37.0
16	33.296864411164215	37.0	33.0	37.0	27.0	37.0
17	34.17844152346811	37.0	33.0	37.0	27.0	37.0
18	34.149701053666384	37.0	33.0	37.0	27.0	37.0
19	34.8441854645147	37.0	37.0	37.0	33.0	37.0
20	35.24512742465016	37.0	37.0	37.0	33.0	37.0
21	35.51118931418145	37.0	37.0	37.0	33.0	37.0
22	35.5748273675997	37.0	37.0	37.0	33.0	37.0
23	35.59094156225982	37.0	37.0	37.0	33.0	37.0
24	35.66193387659028	37.0	37.0	37.0	37.0	37.0
25	35.58115539655764	37.0	37.0	37.0	37.0	37.0
26	35.53078165516355	37.0	37.0	37.0	37.0	37.0
27	35.4931297902269	37.0	37.0	37.0	37.0	37.0
28	35.447167095398115	37.0	37.0	37.0	37.0	37.0
29	35.37209268825481	37.0	37.0	37.0	33.0	37.0
30	35.31967028106648	37.0	37.0	37.0	33.0	37.0
31	35.2358978679656	37.0	37.0	37.0	33.0	37.0
32	35.22558047576569	37.0	37.0	37.0	33.0	37.0
33	35.21806808360724	37.0	37.0	37.0	33.0	37.0
34	35.21271352986969	37.0	37.0	37.0	33.0	37.0
35	35.19495317689333	37.0	37.0	37.0	33.0	37.0
36	35.17132445942528	37.0	37.0	37.0	33.0	37.0
37	35.11102027030438	37.0	37.0	37.0	33.0	37.0
38	35.06221005508146	37.0	37.0	37.0	33.0	37.0
39	35.018207048271854	37.0	37.0	37.0	33.0	37.0
40	34.9632159115421	37.0	37.0	37.0	33.0	37.0
41	34.932400050190694	37.0	37.0	37.0	33.0	37.0
42	34.910835468884855	37.0	37.0	37.0	33.0	37.0
43	34.89952839000112	37.0	37.0	37.0	33.0	37.0
44	34.82967254557633	37.0	37.0	37.0	33.0	37.0
45	34.85199327585551	37.0	37.0	37.0	33.0	37.0
46	34.85350265573878	37.0	37.0	37.0	33.0	37.0
47	34.83771898965899	37.0	37.0	37.0	33.0	37.0
48	34.80453977484871	37.0	37.0	37.0	33.0	37.0
49	34.72778034819537	37.0	37.0	37.0	33.0	37.0
50	34.04705942348979	37.0	37.0	37.0	33.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.16024299273149012
1101	2	-0.15766035652209354
1101	3	-0.2151694983315764
1101	4	-0.18336899313086263
1101	5	-0.211705263150904
1101	6	-0.5903726015347885
1101	7	-0.528986290629625
1101	8	-0.4658304508754938
1101	9	-0.8285247657089627
1101	10	-0.8851529586046141
1101	11	-1.2623759128488174
1101	12	-1.5718101481447277
1101	13	-1.8690338845648569
1101	14	-1.979872184777033
1101	15	-2.4172678627779085
1101	16	-2.3177454282554883
1101	17	-1.7336520342918007
1101	18	-1.7992776987397079
1101	19	-1.3455544271821864
1101	20	-0.99544566211204
1101	21	-0.6955925085599546
1101	22	-0.5714041949752584
1101	23	-0.434106768461092
1101	24	-0.4319414935707897
1101	25	-0.4015429995488802
1101	26	-0.38387751440989604
1101	27	-0.4152278727963221
1101	28	-0.44035622835677657
1101	29	-0.4816372151442678
1101	30	-0.4431885049030839
1101	31	-0.3901576066099679
1101	32	-0.4710992273715675
1101	33	-0.49001175506837313
1101	34	-0.44394775705826817
1101	35	-0.5004616264146691
1101	36	-0.5085503981997661
1101	37	-0.5587842907195295
1101	38	-0.5439002580465342
1101	39	-0.5794511985794912
1101	40	-0.5946661878515016
1101	41	-0.6100825838907724
1101	42	-0.6210809819812155
1101	43	-0.6031052223035829
1101	44	-0.6120849085598223
1101	45	-0.6195410784367112
1101	46	-0.6168036854745154
1101	47	-0.6622651729277962
1101	48	-0.5673882411667108
1101	49	-0.5929213623329517
1101	50	-0.9535919330364919
1102	1	-0.1605637300021101
1102	2	-0.24352704924499236
1102	3	-0.2791504267335654
1102	4	-0.23308923653033986
1102	5	-0.2415789612935697
1102	6	-0.33383779141594516
1102	7	-0.3789072491777432
1102	8	-0.32679465515406037
1102	9	-0.6088361450088868
1102	10	-0.6503494199219801
1102	11	-0.9564460871996161
1102	12	-1.3617827603518293
1102	13	-1.7005918034327792
1102	14	-1.8276175721029588
1102	15	-2.238243487166578
1102	16	-2.0265267664337365
1102	17	-1.423429493174055
1102	18	-1.5697702468013262
1102	19	-1.104407837391122
1102	20	-0.8186473765718247
1102	21	-0.5968338855538846
1102	22	-0.4795574209485096
1102	23	-0.4905798035638895
1102	24	-0.38583252154344194
1102	25	-0.36632490498457315
1102	26	-0.33272522360339707
1102	27	-0.34672203531189183
1102	28	-0.3222358894608206
1102	29	-0.37437329862959245
1102	30	-0.41695242984397396
1102	31	-0.44381411864824827
1102	32	-0.43413674820845927
1102	33	-0.40798552335016325
1102	34	-0.45499403905439095
1102	35	-0.3803976316501192
1102	36	-0.4607924279739066
1102	37	-0.5519072596365078
1102	38	-0.5429733038130067
1102	39	-0.515362561919261
1102	40	-0.5138265456730906
1102	41	-0.5380558742720325
1102	42	-0.517579289206985
1102	43	-0.5354876885435402
1102	44	-0.5429506286476737
1102	45	-0.6051484304095425
1102	46	-0.5621976601330232
1102	47	-0.5417699623302141
1102	48	-0.5400965710621435
1102	49	-0.5260002833519266
1102	50	-0.8877445160347506
1103	1	-0.0711566887115751
1103	2	-0.2006695985274547
1103	3	-0.24599957941928707
1103	4	-0.15098400791627853
1103	5	-0.21660150043656756
1103	6	-0.22316437060550243
1103	7	-0.3015933947852787
1103	8	-0.2637129411379817
1103	9	-0.4428678854597905
1103	10	-0.547415871613012
1103	11	-0.65172190567597
1103	12	-1.0039408291993865
1103	13	-1.1139295288172164
1103	14	-1.2357900433396338
1103	15	-1.7512543965162735
1103	16	-1.6733478993750417
