##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRX5112500_SRR8297998.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	60120685
Total Bases	3 Gbp
Sequences flagged as poor quality	0
Sequence length	50
%GC	49
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	25.361082163318663	27.0	14.0	33.0	14.0	33.0
2	25.279995861657266	27.0	14.0	33.0	14.0	33.0
3	25.599472361301274	27.0	14.0	33.0	14.0	33.0
4	25.548336017794874	27.0	14.0	33.0	14.0	33.0
5	26.48800854481282	33.0	27.0	33.0	14.0	33.0
6	28.938781336240595	33.0	27.0	37.0	14.0	37.0
7	29.897071897966566	37.0	27.0	37.0	14.0	37.0
8	29.652719459201105	37.0	27.0	37.0	14.0	37.0
9	28.443425353520173	33.0	14.0	37.0	14.0	37.0
10	27.86535271512625	33.0	14.0	37.0	14.0	37.0
11	28.29123934632481	33.0	14.0	37.0	14.0	37.0
12	27.673113139013637	33.0	14.0	37.0	14.0	37.0
13	26.622215598508234	33.0	14.0	37.0	14.0	37.0
14	26.83745640955355	33.0	14.0	37.0	14.0	37.0
15	26.720752383310337	33.0	14.0	37.0	14.0	37.0
16	26.31243995307106	33.0	14.0	37.0	14.0	37.0
17	26.872886378456933	33.0	14.0	37.0	14.0	37.0
18	25.627529393585586	27.0	14.0	37.0	14.0	37.0
19	27.775458064058984	33.0	22.0	37.0	14.0	37.0
20	27.663838926652282	33.0	14.0	37.0	14.0	37.0
21	27.98937733327556	33.0	22.0	37.0	14.0	37.0
22	28.622294955554814	33.0	27.0	37.0	14.0	37.0
23	27.240799535135036	33.0	14.0	37.0	14.0	37.0
24	28.601210614948915	37.0	22.0	37.0	2.0	37.0
25	28.29763563073175	37.0	22.0	37.0	2.0	37.0
26	28.788454572664964	37.0	27.0	37.0	2.0	37.0
27	29.310659850266177	37.0	27.0	37.0	2.0	37.0
28	29.131507616721265	37.0	27.0	37.0	2.0	37.0
29	28.83169757630007	37.0	27.0	37.0	2.0	37.0
30	28.59280372470806	37.0	27.0	37.0	2.0	37.0
31	28.8968958188018	37.0	27.0	37.0	2.0	37.0
32	29.16020363041439	37.0	27.0	37.0	2.0	37.0
33	29.32015265627795	37.0	27.0	37.0	2.0	37.0
34	29.030115874428244	37.0	27.0	37.0	2.0	37.0
35	29.052022710652746	37.0	27.0	37.0	2.0	37.0
36	28.922957531172507	37.0	27.0	37.0	2.0	37.0
37	28.75230619877335	37.0	27.0	37.0	2.0	37.0
38	28.62090871053781	37.0	27.0	37.0	2.0	37.0
39	28.495113387347466	37.0	27.0	37.0	2.0	37.0
40	28.244365096638536	37.0	22.0	37.0	2.0	37.0
41	28.258432667558594	37.0	27.0	37.0	2.0	37.0
42	28.02565755862562	37.0	14.0	37.0	2.0	37.0
43	27.133533674807598	37.0	14.0	37.0	2.0	37.0
44	26.297269899702574	37.0	14.0	37.0	2.0	37.0
45	26.181477240320863	37.0	14.0	37.0	2.0	37.0
46	25.87652026918855	37.0	14.0	37.0	2.0	37.0
47	25.327680631050693	37.0	14.0	37.0	2.0	37.0
48	25.91951836543446	37.0	2.0	37.0	2.0	37.0
49	24.572124352874557	37.0	2.0	37.0	2.0	37.0
50	23.305386058059717	33.0	2.0	37.0	2.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-1.5311563487059416
1101	2	-0.7131664577937187
1101	3	0.038410084881547846
1101	4	-0.470794769908661
1101	5	-0.2628641740843314
1101	6	-1.711093204149595
1101	7	-2.5206661157018395
1101	8	0.5510482373395433
1101	9	0.9730392933777026
1101	10	-1.0983961092703929
1101	11	-0.8645120897957277
1101	12	0.4713928553615112
1101	13	-0.6778443579208755
1101	14	-0.6258794606413645
1101	15	-1.0635686540626992
1101	16	-0.6164139051802593
1101	17	-1.8536621748764937
1101	18	0.7348879546956759
1101	19	-0.04551477971520512
1101	20	0.7743008030621041
1101	21	-1.635378953787157
1101	22	-1.0079275716903773
1101	23	-1.1251739453109195
1101	24	-1.2534729256712787
1101	25	-1.2066565798199065
1101	26	1.0448640084803742
1101	27	0.7592067271423808
1101	28	-1.0100636906818714
1101	29	-1.2458157482374368
1101	30	0.6086974456879624
1101	31	-0.5007496121106598
1101	32	0.9086699000941394
1101	33	1.2214542897051501
1101	34	0.1790276476438315
1101	35	0.2260790720830883
1101	36	0.1713228839901113
1101	37	1.3521707498169917
1101	38	1.293222801351284
1101	39	1.643135573063379
1101	40	2.1880390058254555
1101	41	2.2029255985980996
1101	42	0.6916079871919614
1101	43	-0.20810590629015735
1101	44	-1.8235442482620314
1101	45	-1.8985535320896432
1101	46	-0.3551900402425403
1101	47	-1.490457261207517
1101	48	-0.9619668436258344
1101	49	-1.261051287494535
1101	50	-0.09164300629459277
1102	1	-1.636037413585992
1102	2	0.192356596057504
1102	3	0.16415770859172696
1102	4	-1.2433677367760367
1102	5	-1.8438252247438847
1102	6	-1.1690615891585523
1102	7	-0.599630041194203
1102	8	0.8789760039252812
1102	9	0.7051746265041814
1102	10	0.08451932799774653
1102	11	-0.22237594133899563
1102	12	-1.8512908227429925
1102	13	-1.9681038276824943
1102	14	-2.363569438458793
1102	15	-2.2312543233188187
1102	16	-1.4353731882172092
1102	17	-4.085803691427863
1102	18	-1.3412797415447493
1102	19	-0.850866560260787
1102	20	0.8869636184567682
1102	21	-2.1072352576571234
1102	22	0.0026715039506655103
1102	23	0.0019010771860159537
1102	24	0.267477025367576
1102	25	-2.249965694574744
1102	26	-1.4268650770953357
1102	27	-0.1555716609722495
1102	28	-1.0587044015259792
1102	29	-0.396954351777417
1102	30	-0.040957109547857584
1102	31	-0.08994992115685818
1102	32	-1.0632862991436447
1102	33	-1.127408837380699
1102	34	-0.3456238353052008
1102	35	-0.9288715975403186
1102	36	-0.8726900076729791
1102	37	-1.5871284600292839
1102	38	-2.269754130143191
1102	39	-1.2519005137661878
1102	40	-1.915390177054224
1102	41	-0.7944644870309681
1102	42	-1.5771119893508718
1102	43	-1.5279553977993778
1102	44	-0.6874048140706996
1102	45	-0.7767701107745424
1102	46	-1.5487207207180944
1102	47	-2.320296521573848
1102	48	-1.0042539259913283
1102	49	0.58053101748337
1102	50	0.7939723243605421
1103	1	0.21891106803128224
1103	2	1.0437651123184786
1103	3	-0.41759496141750674
1103	4	0.3939385302100611
1103	5	-1.3171270627098366
1103	6	0.18648306734323583
1103	7	0.17884949704630415
1103	8	-1.5129905128847803
1103	9	0.4710964134278761
1103	10	1.1046833116800627
1103	11	0.27509041106997145
1103	12	1.2404675102930227
1103	13	0.08168211612642295
1103	14	0.9517760734596479
1103	15	-0.37973313523706764
1103	16	-0.8092099623304989
1103	17	-0.8822832239281517
1103	18	-3.0136310512093516
1103	19	-0.14377306341828344
1103	20	0.49392508134800295
1103	21	-0.7077916106912241
1103	22	1.1264118306028266
1103	23	0.18806585560305678
1103	24	1.9892262354657149
1103	25	2.9326679665266937
1103	26	1.4585638793612574
1103	27	1.3690874885414601
1103	28	2.2373411699068484
1103	29	1.7355042548020094
1103	30	2.621958142139725
1103	31	2.479526258338492
1103	32	2.2542649892032713
1103	33	2.1678320340973833
1103	34	2.4580859876643473
1103	35	2.3446440792791563
1103	36	2.4754967684740095
1103	37	1.312935442513087
1103	38	2.384822171812079
1103	39	2.4966161265630156
1103	40	2.857571055476253
1103	41	2.637469003485265
1103	42	2.407717074223239
1103	43	2.456918501042601
1103	44	2.2027004561277685
1103	45	1.3749621031171593
1103	46	3.007067092210626
1103	47	3.4697228481681073
1103	48	3.6523170813754184
1103	49	2.9862504577371247
1103	50	4.335270674475709
1104	1	1.1846360507055387
1104	2	0.403576820728869
1104	3	-0.8003098028079911
1104	4	0.8823093899002359
1104	5	-1.2731394044112925
1104	6	1.234569264655164
1104	7	-0.22041703794668877
1104	8	1.2751347082555462
1104	9	2.600770900740592
1104	10	2.9301621531903166
1104	11	-0.08406019443804524
1104	12	0.8220773130863961
1104	13	-1.9831050134949848
1104	14	-0.051781622169798425
1104	15	-1.303686297442077
1104	16	-3.8478781937160207
1104	17	0.7019556387472541
1104	18	2.120021518186242
1104	19	0.7197477683421205
1104	20	2.356953306084254
1104	21	1.5473969972670574
1104	22	1.3650922642246535
1104	23	1.7619740349499828
1104	24	0.867113329281274
1104	25	0.7521031970764511
1104	26	-1.701066340382127
1104	27	-0.9536436436069629
1104	28	-0.5453256492330709
1104	29	0.0030937914573456737
1104	30	0.5444463237975725
1104	31	-1.3057412120308918
1104	32	0.06624327275135045
1104	33	-0.02479104680278965
1104	34	0.3932337437041582
1104	35	0.15900472482513095
1104	36	0.5323982865943933
1104	37	0.8832557450888139
1104	38	-0.012751577838741923
1104	39	-0.62338225035408
1104	40	-0.6315040360790825
1104	41	-0.1917791292603681
1104	42	-1.5521738906448093
1104	43	0.5334235247305514
1104	44	1.6335850754863337
1104	45	1.8018342421674838
1104	46	1.9793480838068653
1104	47	2.956425529403912
1104	48	0.4531052283821104
1104	49	0.9556569791158687
1104	50	0.29664089625000756
1105	1	-0.6933421286187276
1105	2	-0.36221236792430744
1105	3	-0.7376268905434706
1105	4	-1.2637159873897268
1105	5	-0.6074450948015375
1105	6	0.8559603320456368
1105	7	0.4515546464979323
1105	8	0.22192995636900648
1105	9	-0.2738680344547326
1105	10	0.9432151107312094
1105	11	1.3216787152484137
1105	12	1.0345884596396182
1105	13	1.7402996799872703
1105	14	1.0008154117013177
1105	15	-0.3510455914159962
1105	16	0.9888360912052434
1105	17	1.0803295515466473
1105	18	-2.1033644002040077
1105	19	-0.8925188148168282
1105	20	-1.260293618599178
1105	21	-0.4044699111629235
1105	22	1.2909448064930693
1105	23	-0.03336392111222963
1105	24	0.9792918154427426
1105	25	1.81621914840753
1105	26	2.146347670215679
1105	27	1.4765543473998193
1105	28	1.9936545821778822
1105	29	0.6764151412116739
1105	30	0.7382734754285885
1105	31	1.629967192705557
1105	32	1.4466580773419047
1105	33	1.5242005884699488
1105	34	1.8508750256961797
1105	35	1.8170488102790898
1105	36	1.7801979706979978
1105	37	1.7609589464923339
1105	38	1.9467429264111864
1105	39	2.006305872579407
1105	40	2.070808446819516
