##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRX5112341_SRR8297836.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	63209854
Total Bases	3.1 Gbp
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.08877899006063	33.0	33.0	33.0	33.0	33.0
2	32.07921187414861	33.0	33.0	33.0	33.0	33.0
3	32.06901011035399	33.0	33.0	33.0	33.0	33.0
4	32.19810227690132	33.0	33.0	33.0	33.0	33.0
5	32.2191555924176	33.0	33.0	33.0	33.0	33.0
6	35.58533280269877	37.0	37.0	37.0	33.0	37.0
7	35.65497877909986	37.0	37.0	37.0	33.0	37.0
8	35.8599184076584	37.0	37.0	37.0	37.0	37.0
9	35.42017201938166	37.0	37.0	37.0	33.0	37.0
10	35.41560108650148	37.0	37.0	37.0	33.0	37.0
11	34.82095036954207	37.0	37.0	37.0	33.0	37.0
12	34.26437072612128	37.0	37.0	37.0	27.0	37.0
13	34.02315673755551	37.0	33.0	37.0	27.0	37.0
14	34.14599911906141	37.0	33.0	37.0	27.0	37.0
15	33.9094166551943	37.0	33.0	37.0	27.0	37.0
16	33.64019445449122	37.0	33.0	37.0	27.0	37.0
17	34.43485569512627	37.0	37.0	37.0	27.0	37.0
18	34.32686639333165	37.0	37.0	37.0	27.0	37.0
19	34.81987874865207	37.0	37.0	37.0	33.0	37.0
20	35.23398884927024	37.0	37.0	37.0	33.0	37.0
21	35.482002394753195	37.0	37.0	37.0	33.0	37.0
22	35.54796867589664	37.0	37.0	37.0	33.0	37.0
23	35.52095429614503	37.0	37.0	37.0	33.0	37.0
24	35.6295513512814	37.0	37.0	37.0	37.0	37.0
25	35.56671497769952	37.0	37.0	37.0	37.0	37.0
26	35.482921476135665	37.0	37.0	37.0	37.0	37.0
27	35.46604002597443	37.0	37.0	37.0	37.0	37.0
28	35.447015824463065	37.0	37.0	37.0	37.0	37.0
29	35.38533522004338	37.0	37.0	37.0	37.0	37.0
30	35.33039731431748	37.0	37.0	37.0	33.0	37.0
31	35.25121560951557	37.0	37.0	37.0	33.0	37.0
32	35.23612035237417	37.0	37.0	37.0	33.0	37.0
33	35.23497160743323	37.0	37.0	37.0	33.0	37.0
34	35.21828020675384	37.0	37.0	37.0	33.0	37.0
35	35.21409506815188	37.0	37.0	37.0	33.0	37.0
36	35.184384130993244	37.0	37.0	37.0	33.0	37.0
37	35.128738028725714	37.0	37.0	37.0	33.0	37.0
38	35.0833341586266	37.0	37.0	37.0	33.0	37.0
39	35.03579653893838	37.0	37.0	37.0	33.0	37.0
40	35.00022150027431	37.0	37.0	37.0	33.0	37.0
41	34.95710646634305	37.0	37.0	37.0	33.0	37.0
42	34.93042521503055	37.0	37.0	37.0	33.0	37.0
43	34.9362553977739	37.0	37.0	37.0	33.0	37.0
44	34.87238076835298	37.0	37.0	37.0	33.0	37.0
45	34.88313932824461	37.0	37.0	37.0	33.0	37.0
46	34.82319055823163	37.0	37.0	37.0	33.0	37.0
47	34.77093846791673	37.0	37.0	37.0	33.0	37.0
48	34.81115572581452	37.0	37.0	37.0	33.0	37.0
49	34.76606536696003	37.0	37.0	37.0	33.0	37.0
50	34.05529139491447	37.0	37.0	37.0	33.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.03240734185535388
1101	2	-0.11003337798027601
1101	3	-0.1669830763244029
1101	4	-0.20370694472710582
1101	5	-0.1587064916263543
1101	6	-0.30731188519885677
1101	7	-0.41188581188773554
1101	8	-0.3991578228334518
1101	9	-0.6751177112336748
1101	10	-0.6672996372215536
1101	11	-0.8507713137951711
1101	12	-1.2138310131567351
1101	13	-1.3159519231290204
1101	14	-1.29251392031572
1101	15	-1.52443850132196
1101	16	-1.8209007958455032
1101	17	-1.2760604193493919
1101	18	-1.3469861959648242
1101	19	-0.9019727141408111
1101	20	-0.5809227426858783
1101	21	-0.4793000030441874
1101	22	-0.39613168688580913
1101	23	-0.38605037039054224
1101	24	-0.3917148097534664
1101	25	-0.39672129665557776
1101	26	-0.3639359491133618
1101	27	-0.3912843808524826
1101	28	-0.3954575512783478
1101	29	-0.36461672895568853
1101	30	-0.3643258421920663
1101	31	-0.36565206664395333
1101	32	-0.4113887826285989
1101	33	-0.3899975055045317
1101	34	-0.4077038542192568
1101	35	-0.3749656012939653
1101	36	-0.39657143029199204
1101	37	-0.405861240240597
1101	38	-0.4398646815411169
1101	39	-0.4012986794597069
1101	40	-0.4523011881388257
1101	41	-0.4464126408619222
1101	42	-0.4956305556485958
1101	43	-0.45856969171712336
1101	44	-0.49612084128762035
1101	45	-0.45410708069459105
1101	46	-0.5709064624254694
1101	47	-0.5281869284875569
1101	48	-0.4715225973860413
1101	49	-0.47615299457795146
1101	50	-0.7750124691472706
1102	1	0.11678525904142845
1102	2	-0.0605766369930123
1102	3	0.027295596179712334
1102	4	-0.031031773393564777
1102	5	-0.049959156344463906
1102	6	-0.07962319269043405
1102	7	-0.19438967883368008
1102	8	-0.21138512725273984
1102	9	-0.47358607228317595
1102	10	-0.4889558660004383
1102	11	-0.7767799510944258
1102	12	-1.1384371440968906
1102	13	-1.3044356758753608
1102	14	-1.192709257877965
1102	15	-1.4216188543459083
1102	16	-1.7697189493352
1102	17	-1.0884088017493738
1102	18	-1.162706840861297
1102	19	-0.6689466991826833
1102	20	-0.46458178674297557
1102	21	-0.26542962352733923
1102	22	-0.2447777155589108
1102	23	-0.26446493362561085
1102	24	-0.2332312013851663
1102	25	-0.22619377204262747
1102	26	-0.21185601195117698
1102	27	-0.1973393962446508
1102	28	-0.22874533017002818
1102	29	-0.23011016865769562
1102	30	-0.1968190117543429
1102	31	-0.22924657964232154
1102	32	-0.24441179776655986
1102	33	-0.22907431365471354
1102	34	-0.26305434687735385
1102	35	-0.221702914868942
1102	36	-0.29942118149245545
1102	37	-0.25567628823039
1102	38	-0.2825820053373107
1102	39	-0.30208289232295726
1102	40	-0.3274348617781655
1102	41	-0.32527491634276373
1102	42	-0.34486072913705357
1102	43	-0.2862599402653174
1102	44	-0.2852562098565343
1102	45	-0.2436257807533906
1102	46	-0.3367927538366686
1102	47	-0.3640099046715122
1102	48	-0.27245883128145465
1102	49	-0.23819052295189636
1102	50	-0.48130305149874175
1103	1	0.07425683233902447
1103	2	-0.05564713900508167
1103	3	0.010696096947306444
1103	4	-0.03133748101782885
1103	5	-0.1069794357456928
1103	6	-0.10470311130808341
1103	7	-0.10893387741982963
1103	8	-0.19477365351702502
1103	9	-0.43269963656906185
1103	10	-0.4544899707253762
1103	11	-0.6772700131943381
1103	12	-1.1154722463610511
1103	13	-1.2461589584072854
1103	14	-1.0681551768191895
1103	15	-1.2552838559232882
1103	16	-1.6132533633315589
1103	17	-1.0722192380228677
