Sample	Wt	Template-based	Delins	Ins_inframe	Ins_outframe	Dels_inframe	Dels_outframe
PC15_hF9_0-A	3065.0	0.0	10.0	0.0	17.0	9.0	313.0
PC15_hF9_0-B	2673.0	0.0	10.0	0.0	17.0	3.0	272.0
PC15_hF9_0-C	2095.0	0.0	7.0	0.0	16.0	2.0	217.0
PC15_hF9_100-A	160.0	0.0	57.0	8.0	1173.0	943.0	1275.0
PC15_hF9_100-B	188.0	0.0	58.0	11.0	1297.0	1061.0	1492.0
PC15_hF9_100-C	114.0	0.0	37.0	8.0	876.0	743.0	967.0
PC15_hF9_20-A	1803.0	0.0	19.0	2.0	145.0	113.0	317.0
PC15_hF9_20-B	2444.0	0.0	21.0	1.0	223.0	146.0	436.0
PC15_hF9_20-C	2364.0	0.0	25.0	0.0	183.0	125.0	431.0
PC15_hF9_40-A	1975.0	0.0	26.0	3.0	384.0	324.0	648.0
PC15_hF9_40-B	1936.0	0.0	51.0	5.0	395.0	374.0	632.0
PC15_hF9_40-C	2078.0	0.0	36.0	1.0	431.0	350.0	656.0
PC15_hF9_60-A	574.0	0.0	11.0	2.0	281.0	182.0	377.0
PC15_hF9_60-B	1365.0	0.0	29.0	3.0	585.0	505.0	782.0
PC15_hF9_60-C	1250.0	0.0	28.0	3.0	513.0	400.0	726.0
PC15_hF9_80-A	845.0	0.0	43.0	9.0	811.0	651.0	971.0
PC15_hF9_80-B	795.0	0.0	43.0	9.0	789.0	663.0	989.0
PC15_hF9_80-C	511.0	0.0	25.0	5.0	550.0	451.0	636.0
PC19_hADAR1_0-A	888.0	0.0	0.0	0.0	4.0	7.0	115.0
PC19_hADAR1_0-B	1078.0	0.0	0.0	0.0	13.0	7.0	149.0
PC19_hADAR1_0-C	917.0	0.0	0.0	0.0	5.0	9.0	111.0
PC19_hADAR1_100-A	37.0	0.0	6.0	3.0	138.0	58.0	99.0
PC19_hADAR1_100-B	64.0	0.0	10.0	1.0	249.0	106.0	206.0
PC19_hADAR1_100-C	93.0	0.0	19.0	0.0	405.0	156.0	331.0
PC19_hADAR1_20-A	371.0	0.0	0.0	1.0	40.0	15.0	77.0
PC19_hADAR1_20-B	543.0	0.0	0.0	0.0	47.0	33.0	120.0
PC19_hADAR1_20-C	615.0	0.0	0.0	0.0	64.0	24.0	147.0
PC19_hADAR1_40-A	416.0	0.0	7.0	0.0	115.0	48.0	165.0
PC19_hADAR1_40-B	498.0	0.0	5.0	1.0	101.0	53.0	165.0
PC19_hADAR1_40-C	545.0	0.0	8.0	1.0	142.0	55.0	192.0
PC19_hADAR1_60-A	492.0	0.0	9.0	1.0	208.0	103.0	234.0
PC19_hADAR1_60-B	335.0	0.0	10.0	0.0	172.0	72.0	175.0
PC19_hADAR1_60-C	470.0	0.0	6.0	0.0	206.0	77.0	206.0
PC19_hADAR1_80-A	240.0	0.0	3.0	1.0	231.0	90.0	211.0
PC19_hADAR1_80-B	260.0	0.0	6.0	2.0	256.0	118.0	227.0
PC19_hADAR1_80-C	302.0	0.0	4.0	0.0	285.0	121.0	252.0
