Sample	Wt	Template-based	Delins	Ins_inframe	Ins_outframe	Dels_inframe	Dels_outframe
Spikes-high-x25-a	34634.0	0.0	348.0	74.0	3688.0	666.0	4186.0
Spikes-high-x25-b	22185.0	0.0	429.0	79.0	3321.0	432.0	2608.0
Spikes-high-x30-a	28027.0	0.0	440.0	78.0	3407.0	743.0	3778.0
Spikes-high-x30-b	35264.0	0.0	449.0	76.0	4621.0	887.0	4336.0
Spikes-high-x35-a	34128.0	0.0	556.0	92.0	4547.0	1205.0	4854.0
Spikes-high-x35-b	15162.0	0.0	84.0	27.0	1504.0	888.0	2410.0
Spikes-low-x25-a	13107.0	0.0	85.0	11.0	1213.0	251.0	1506.0
Spikes-low-x25-b	17433.0	0.0	161.0	25.0	1665.0	534.0	2095.0
Spikes-low-x30-a	31078.0	0.0	461.0	63.0	3466.0	908.0	4032.0
Spikes-low-x30-b	38118.0	0.0	349.0	57.0	3987.0	834.0	5062.0
Spikes-low-x35-a	24628.0	0.0	423.0	75.0	3671.0	678.0	3847.0
Spikes-low-x35-b	31665.0	0.0	313.0	64.0	3769.0	1180.0	4481.0
Spikes-no-mix-x25	109.0	0.0	394.0	3.0	4582.0	2652.0	6518.0
